lang_pair,src_num_texts,src_num_tokens,src_num_segments,tgt_num_texts,tgt_num_tokens,tgt_num_segments,tot_num_tokens
eng_Latn-gle_Latn,26821145,287045350,51378311,26821145,331676724,18603127,618722074
eng_Latn-mlt_Latn,20523766,333211482,39466147,20523766,279577029,16594870,612788511
cat_Latn-eng_Latn,21284153,312337406,17753908,21284153,296470859,41284455,608808265
eng_Latn-srp_Cyrl,26510560,319522151,51669454,26510560,288878621,21525232,608400772
eng_Latn-uzb_Latn,30969709,350324035,63508404,30969709,253836946,25342446,604160981
ara_Arab-pol_Latn,34071388,306954719,19326874,34071388,293382160,32082007,600336879
eng_Latn-mar_Deva,35908910,309465328,70218166,35908910,289945360,29850185,599410688
spa_Latn-nor_Latn,20612635,317506062,17341084,20612635,281290107,17262365,598796169
zho_Hani-ara_Arab,32639886,35669932,52633932,32639886,558393331,23384935,594063263
eng_Latn-sin_Sinh,31995687,296055006,67327346,31995687,287320965,32510461,583375971
fra_Latn-nor_Latn,20658760,311864774,16679069,20658760,271018284,17042665,582883058
deu_Latn-hrv_Latn,28049050,301613133,25171024,28049050,275137484,25157404,576750617
ces_Latn-por_Latn,25644681,263496057,20436438,25644681,310419912,20031292,573915969
ell_Grek-ita_Latn,15994891,287511250,14289490,15994891,283498318,13843107,571009568
deu_Latn-vie_Latn,19111830,236373025,15976611,19111830,330522599,14828235,566895624
fra_Latn-vie_Latn,16039046,253129456,13133987,16039046,312666969,12574732,565796425
ara_Arab-tur_Latn,34757258,291490153,18537937,34757258,259985267,32630278,551475420
ces_Latn-nld_Latn,25525053,246015483,20469463,25525053,287262735,19780730,533278218
ara_Arab-ron_Latn,30623567,243223283,15687985,30623567,283959056,30171026,527182339
cat_Latn-fra_Latn,24385716,258630044,18155528,24385716,267161401,17747641,525791445
fra_Latn-lit_Latn,24571479,300330520,18439510,24571479,222613299,20108065,522943819
spa_Latn-lit_Latn,23713057,293138306,18414530,23713057,221256271,19587444,514394577
