lang_code,num_texts,num_tokens,num_segments
ksh_Latn,25280,1023491,74205
kpg_Latn,28325,1015784,38325
tlh_Latn,2709,1009625,74492
knv_Latn,29120,999809,36552
rop_Latn,27306,990829,48099
hus_Latn,15683,985788,49325
pcd_Latn,20179,981164,53715
dov_Latn,918,963847,71801
emp_Latn,1163,952811,84045
pfl_Latn,20063,947088,66191
mnw_Mymr,1837,936913,6974
crh_Latn,30141,936424,78553
tzh_Latn,701,929142,40505
ubu_Latn,793,928411,63542
lez_Cyrl,7493,921624,75917
kri_Latn,693,921549,44481
iku_Cans,2929,916981,80041
fip_Latn,729,916722,61192
rug_Latn,28433,909414,37329
bak_Latn,49764,903938,76756
xav_Latn,13902,900419,49351
bru_Latn,1029,899397,46969
btx_Latn,995,898439,57737
tcy_Knda,2502,891467,92971
ach_Latn,1081,888217,41963
cab_Latn,7899,881536,53676
kjh_Cyrl,22478,869234,57396
mdf_Cyrl,4681,844226,99626
san_Latn,8979,842785,34780
aln_Latn,29027,838662,27820
kua_Latn,1893,836319,40649
ctu_Latn,15702,823358,59860
gag_Latn,2944,821585,65468
toj_Latn,8143,818765,48075
bzj_Latn,7744,818352,42597
ajp_Arab,42096,812477,25321
kmb_Latn,538,810807,43767
yap_Latn,5566,810546,29969
srm_Latn,7892,806124,38892
bum_Latn,553,799844,41746
jbo_Latn,19585,797668,105678
csb_Latn,19615,793589,70848
seh_Latn,6925,788957,52995
mzh_Latn,26672,784281,41198
djk_Latn,7961,757663,45301
arn_Latn,8254,756587,42190
cbk_Latn,13706,752171,33420
nia_Latn,1628,751926,47304
ibb_Latn,777,747752,43045
nde_Latn,29076,739393,52110
gor_Latn,11175,736488,46946
npi_Deva,28881,736272,128
lld_Latn,12406,733440,47421
trv_Latn,1811,724978,38196
ixl_Latn,22357,721582,56148
bqc_Latn,28512,716808,49785
bxr_Cyrl,7834,715933,55357
ape_Latn,658,715265,48082
shn_Mymr,2501,712109,17105
bho_Deva,1515,710008,32218
wal_Latn,26186,701430,50623
lad_Latn,3376,699012,30767
swh_Latn,32869,698517,35026
nqo_Nkoo,1420,697158,25339
apc_Arab,38836,691709,14606
enq_Latn,754,684834,41588
mad_Latn,8633,672110,49019
bts_Latn,867,661831,44687
bih_Deva,12016,620985,3587
xal_Cyrl,4614,607639,55943
nbl_Latn,15827,604554,48157
zlm_Latn,27367,600430,35901
suz_Deva,20607,592319,27
frp_Latn,5130,589717,30314
ami_Latn,1519,588561,34876
rwo_Latn,566,586799,44475
cuk_Latn,7480,580178,57934
bat_Latn,11888,576300,66922
guc_Latn,8018,572805,35640
jam_Latn,3027,569767,27903
smn_Latn,5072,568484,50148
twu_Latn,528,562278,29780
din_Latn,766,553150,31370
blk_Mymr,2535,550831,1666
tab_Cyrl,1210,530882,40060
tls_Latn,28752,528325,29800
acf_Latn,639,521395,25550
rmc_Latn,709,520936,29166
zne_Latn,239,504555,26566
sgs_Latn,21151,481058,52932
lhu_Latn,866,470803,21191
fiu_Latn,4816,465672,48595
kon_Latn,1768,462561,29279
mak_Latn,551,455146,32139
sja_Latn,523,454403,30283
qub_Latn,736,451749,69410
amu_Latn,511,442367,30596
msi_Latn,1845,437709,68735
qvi_Latn,7230,428152,36228
dtp_Latn,1397,419789,22854
dyu_Latn,480,419195,22129
mag_Deva,92,417943,4307
tca_Latn,8788,415800,23332
jiv_Latn,691,415612,46063
bis_Latn,2408,414565,20521
aoj_Latn,14683,413675,33213
map_Latn,2465,408347,23671
cha_Latn,828,407044,22516
mkn_Latn,357,403758,24673
sus_Latn,433,397104,22084
dsb_Latn,3205,394918,34142
mah_Latn,306,390560,18822
pau_Latn,177,390063,18582
mas_Latn,398,386969,17589
anp_Deva,1034,382877,2628
tay_Latn,2387,380995,21554
mfe_Latn,313,372991,21264
bas_Latn,216,362800,18850
gcr_Latn,2377,343239,17282
shi_Latn,1329,340955,15248
pls_Latn,10361,339367,14583
nrm_Latn,3278,339196,15736
tsg_Latn,451,333509,17900
luo_Latn,12580,331016,15509
olo_Latn,4262,327884,34560
guh_Latn,330,327310,31302
nog_Cyrl,3182,325386,25737
dty_Deva,2248,318453,3482
fat_Latn,1071,313401,20003
koi_Cyrl,2746,312419,33953
tly_Arab,2096,310395,31286
gpe_Latn,1101,307953,14270
gui_Latn,403,306492,27753
ppk_Latn,408,305696,21986
gur_Latn,1172,297245,16420
gub_Latn,269,283298,28687
guw_Latn,1304,281993,13345
ndo_Latn,12680,276958,12775
jac_Latn,303,270893,13907
evn_Cyrl,6415,269445,25544
mni_Mtei,2736,261086,5123
cdo_Latn,6357,257826,16018
hak_Latn,5477,254307,14082
nyu_Latn,1912,248495,16368
alz_Latn,195,246890,14644
mni_Beng,290,246000,10006
ote_Latn,7727,245447,10541
noa_Latn,234,243655,12927
hvn_Latn,200,239413,10881
tdx_Latn,261,237917,15437
roa_Latn,1249,230755,8293
cce_Latn,116,227186,12492
awa_Deva,1457,222620,3377
sxn_Latn,197,220599,14765
teo_Latn,280,220594,14165
kpv_Cyrl,3494,220301,18688
prs_Arab,8326,219697,8816
lrc_Arab,543,216823,14257
sda_Latn,309,214811,12311
hne_Deva,4324,213268,1996
ksw_Mymr,526,212715,22959
mco_Latn,7560,212679,13188
acm_Arab,13017,212438,8969
shp_Latn,7472,211746,6310
tdt_Latn,6862,207502,13330
bus_Latn,307,207204,12386
tly_Latn,4440,196603,29680
ktu_Latn,143,196511,7611
ikk_Latn,7489,196471,8159
naq_Latn,7532,195005,6461
chr_Cher,1003,192127,11652
nch_Latn,7542,190868,13191
nah_Latn,3046,190844,11951
msm_Latn,176,190283,10449
zai_Latn,7589,190166,11217
izz_Latn,232,187676,10019
nij_Latn,183,186115,12469
ahk_Latn,983,178485,8237
inb_Latn,299,173637,17432
cre_Latn,293,173568,12300
maz_Latn,168,172269,9456
uig_Latn,4523,171435,10721
knj_Latn,123,166588,9728
jvn_Latn,191,165344,10050
top_Latn,7400,163776,8247
gug_Latn,7050,161255,9673
gvl_Latn,125,160949,8431
wuu_Hani,5120,159953,5764
pis_Latn,391,158913,8282
ncj_Latn,7305,157450,11587
kas_Arab,1733,155479,1456
tzj_Latn,135,149198,7398
csy_Latn,4843,144009,6169
bim_Latn,38,143802,9829
yom_Latn,6946,143358,8005
ndc_Latn,132,139616,10167
hau_Arab,4628,139595,3602
spp_Latn,121,139397,6807
mau_Latn,7068,139261,11667
pdc_Latn,1685,136397,9970
mnw_Latn,65,134572,6209
laj_Latn,137,134264,5980
mos_Latn,5406,134233,5466
quw_Latn,6273,133740,8928
dwr_Latn,199,128604,8329
mrj_Latn,487,127157,17007
kik_Latn,2583,123584,7423
kcg_Latn,1127,119169,4888
zha_Latn,1762,113637,5525
pwn_Latn,400,112221,5714
nov_Latn,1285,109552,6769
atj_Latn,1760,107906,8763
arb_Arab,6415,106178,5347
niq_Latn,218,99919,5380
kmz_Latn,101,99084,5017
yao_Latn,4666,98899,6353
rmy_Latn,1786,97342,5588
dje_Latn,100,97131,5611
abq_Cyrl,2009,96056,8830
tsc_Latn,73,86971,4022
gbm_Deva,118,86689,954
rki_Mymr,203,85499,4953
mqy_Latn,106,85158,4107
zxx_Latn,70,80353,3269
miq_Latn,43,77986,4143
ckt_Latn,1422,73596,10652
ame_Latn,4260,73427,75
qxr_Latn,151,73220,7759
kmr_Latn,2737,71321,3095
gof_Latn,95,68500,5339
agr_Latn,93,67092,4606
ben_Latn,233,65750,3365
chu_Cyrl,1080,64107,450
kjg_Laoo,77,63633,3552
tll_Latn,37,62156,3324
quf_Latn,87,61881,6435
mdf_Latn,406,57218,9845
ify_Latn,78,55680,3149
raj_Deva,32,55361,1282
cni_Latn,3671,54287,28
hin_Latn,167,54277,1266
cac_Latn,77,54118,3038
bbj_Latn,3294,53694,1528
arc_Syrc,1472,53501,1831
akb_Latn,66,50869,1963
qvz_Latn,87,50138,4688
pnt_Grek,497,47863,3370
rut_Cyrl,1443,44802,2428
lbe_Cyrl,839,42936,4584
adh_Latn,86,41296,1784
mrw_Latn,22,40949,1187
kjb_Latn,884,40507,3889
koi_Latn,280,40243,8147
brx_Deva,60,39920,851
ffm_Latn,65,39102,2550
chr_Latn,107,38336,2059
got_Latn,22,38042,4708
quy_Latn,78,37269,3296
trp_Latn,30,37082,2430
oji_Latn,135,36598,2845
ann_Latn,58,36580,2162
smt_Latn,34,36456,1590
tah_Latn,971,36330,1821
got_Goth,845,35502,2987
pih_Latn,781,32465,2310
qup_Latn,53,31296,2955
pib_Latn,1792,30877,34
msb_Latn,42,28961,1371
mhx_Latn,77,27403,1592
ckt_Cyrl,484,26923,2553
qvc_Latn,27,25652,2937
bxr_Latn,186,24978,2247
gan_Hani,615,24759,456
kwi_Latn,37,23407,2879
bug_Latn,486,23048,1402
jra_Latn,86,22304,1371
aeu_Latn,47,21275,823
krr_Khmr,25,20321,17
dln_Latn,26,19515,809
ava_Latn,74,17743,2211
cgc_Latn,160,16974,2690
kwu_Latn,15,16744,1386
shn_Latn,24,16029,953
brb_Khmr,20,15696,0
thl_Deva,151,15611,27
bzi_Thai,59,14106,1522
pce_Mymr,34,13369,110
lad_Hebr,87,13233,561
taj_Deva,12,12691,26
yrk_Cyrl,715,12260,4173
kau_Latn,40,12243,1137
tpu_Khmr,27,11801,20
hbb_Latn,25,11771,644
cjs_Cyrl,314,11183,1279
ipk_Latn,330,11038,1337
dwr_Ethi,16,10834,4
kak_Latn,161,10323,1917
pli_Latn,14,9977,907
aph_Deva,31,9933,4
pbt_Arab,163,9751,1140
myk_Latn,27,9551,675
kas_Cyrl,218,9471,535
nut_Latn,17,9295,293
syr_Latn,18,9167,156
tks_Arab,51,9085,900
lez_Latn,59,8982,816
tuk_Cyrl,244,8717,2051
boz_Latn,5,8628,539
skr_Latn,12,7960,257
